"id","appid","screenname","previousscreen","nextscreen","sessionid","appversion","osversion","devicemodel","screentime","starttime","createdon","uxcamuserid","totalgesture","isdeleted"
2712212,"5b977587fca8910023119de2","ActivityCrash","MainActivity","MainActivity","5b9a39fb8f6df4002487558b","1.0","6.0","CAM-UL00","1.169","14.801","2018-09-13 11:00:12.111","5b977652c3fe9a232a28d625",0,False
2712211,"5b977587fca8910023119de2","MainActivity","ActivityGesture","ActivityCrash","5b9a39fb8f6df4002487558b","1.0","6.0","CAM-UL00","13.933","0.868","2018-09-13 11:00:12.111","5b977652c3fe9a232a28d625",6,False
2712210,"5b977587fca8910023119de2","ActivityGesture","Launch","MainActivity","5b9a39fb8f6df4002487558b","1.0","6.0","CAM-UL00","0.868","0","2018-09-13 11:00:12.111","5b977652c3fe9a232a28d625",0,False
2706200,"5b977587fca8910023119de2","MainActivity","ActivityScreenAction","Exit","5b9a3a3b8f6df4002487558d","1.0","6.0","CAM-UL00","2.601","0.502","2018-09-13 10:59:57.33","5b977652c3fe9a232a28d625",0,False
2706199,"5b977587fca8910023119de2","ActivityScreenAction","Launch","MainActivity","5b9a3a3b8f6df4002487558d","1.0","6.0","CAM-UL00","0.502","0","2018-09-13 10:59:57.33","5b977652c3fe9a232a28d625",0,False
2706175,"5b977587fca8910023119de2","MainActivity","Launch","Exit","5b9a39c38f6df40024875586","1.0","6.0","CAM-UL00","3.303","0","2018-09-13 10:59:57.295","5b977652c3fe9a232a28d625",0,False
2706155,"5b977587fca8910023119de2","MainActivity","Launch","Exit","5b9a39df8f6df4002487558a","1.0","6.0","CAM-UL00","14.575","0","2018-09-13 10:59:57.273","5b977652c3fe9a232a28d625",12,False
2247420,"5b977587fca8910023119de2","MainActivity","ActivityOcclude","Exit","5b977661ac48e800247db996","1.0","6.0","CAM-UL00","3.176","10.282","2018-09-11 08:01:52.369","5b977652c3fe9a232a28d625",0,False
2247419,"5b977587fca8910023119de2","ActivityOcclude","MainActivity","MainActivity","5b977661ac48e800247db996","1.0","6.0","CAM-UL00","1.835","8.447","2018-09-11 08:01:52.369","5b977652c3fe9a232a28d625",0,False
2247418,"5b977587fca8910023119de2","MainActivity","ActivityOcclude","ActivityOcclude","5b977661ac48e800247db996","1.0","6.0","CAM-UL00","1.473","6.974","2018-09-11 08:01:52.369","5b977652c3fe9a232a28d625",1,False
2247417,"5b977587fca8910023119de2","ActivityOcclude","MainActivity","MainActivity","5b977661ac48e800247db996","1.0","6.0","CAM-UL00","0.897","6.077","2018-09-11 08:01:52.369","5b977652c3fe9a232a28d625",0,False
2247416,"5b977587fca8910023119de2","MainActivity","ActivitySessionProperties","ActivityOcclude","5b977661ac48e800247db996","1.0","6.0","CAM-UL00","2.547","3.53","2018-09-11 08:01:52.369","5b977652c3fe9a232a28d625",1,False
2247415,"5b977587fca8910023119de2","ActivitySessionProperties","MainActivity","MainActivity","5b977661ac48e800247db996","1.0","6.0","CAM-UL00","0.802","2.728","2018-09-11 08:01:52.369","5b977652c3fe9a232a28d625",0,False
2247414,"5b977587fca8910023119de2","MainActivity","ActivityUserDetails","ActivitySessionProperties","5b977661ac48e800247db996","1.0","6.0","CAM-UL00","0.972","1.756","2018-09-11 08:01:52.369","5b977652c3fe9a232a28d625",1,False
2247413,"5b977587fca8910023119de2","ActivityUserDetails","MainActivity","MainActivity","5b977661ac48e800247db996","1.0","6.0","CAM-UL00","1.25","0.506","2018-09-11 08:01:52.369","5b977652c3fe9a232a28d625",0,False
2247412,"5b977587fca8910023119de2","MainActivity","Launch","ActivityUserDetails","5b977661ac48e800247db996","1.0","6.0","CAM-UL00","0.506","0","2018-09-11 08:01:52.369","5b977652c3fe9a232a28d625",1,False
2247411,"5b977587fca8910023119de2","MainActivity","Launch","Exit","5b977645ac48e800247db995","1.0","6.0","CAM-UL00","11.3","0","2018-09-11 08:01:22.65","5b977652c3fe9a232a28d625",5,False
